zip,type,year_built,listPrice,lastSoldPrice,list_to_sold_ratio,sqft,price_per_sqft,stories,beds,baths,baths_full,baths_full_calc,property_age,price_diff,price_ratio,price_change_pct
99352,7,2005,400056,400055,1,1310,305.39,1,3,2,1,2,21,1,1,0
99205,7,1950,295050,295093,1,1460,202.12,2,3,1,1,2,76,-43,1,0
98038,7,1992,779584,779574,1,2000,389.79,2,4,3,2,2,34,10,1,0
98027,7,1980,1222787,1462187.5,1.01,1870,680.56,1,3,2,1,2,46,-14958,0.84,-0.16
98671,7,2017,1100056,1100065,1,3865,270.29,3.5,5.5,4,3.5,2,9,-9,1,0
98199,7,1953,1219935,1324939,1.03,2160,613.4,1,3,2,1,2,73,-33595,0.92,-0.08
98607,7,2019,700075,699927,1,2200,318.15,2,4,2,2,2,7,148,1,0
98020,7,1949,1222787,1462187.5,0.96,2360,680.56,1,3,2,2,2,77,43901,0.84,-0.16
98020,7,1960,997915,1179928,1.03,1050,680.56,1,3,1,1,2,66,-33595,0.85,-0.15
98569,7,2021,355089,349927,0.99,1500,233.28,1,2,2,1,2,5,5162,1.01,0.01
98118,7,1997,724921,732904,1.01,1400,523.5,2,3,3,1,2,29,-7983,0.99,-0.01
98042,7,1995,699929,659902,0.96,2410,273.82,2,4,3,3,2,31,40027,1.06,0.06
98947,7,2022,358940,358926,1,1360,263.92,1,3,2,2,2,4,14,1,0
98119,0,1965,299906,290099,0.97,820,353.78,1,2,1,1,2,61,9807,1.03,0.03
98021,7,2025,1222787,1462187.5,1,2810,551.57,2,4,3,2,2,1,0,0.84,-0.16
98686,7,2012,734949,750091,1.02,2260,331.9,1,3,2,2,2,14,-15142,0.98,-0.02
99403,7,1956,249986,208839,0.96,770,271.22,1,2,1,1,2,70,41147,1.2,0.2
98119,0,1978,340054,349928,1.03,720,486.01,1,1.5,1,1,2,48,-9874,0.97,-0.03
98023,7,1967,474913,499933,1.03,970,515.39,1,3,1,1,2,59,-25020,0.95,-0.05
98368,7,2026,479858,480004,1,2070,231.89,2,4,3,3,2,0,-146,1,0
98203,7,1985,599894,609947,1.02,1800,338.86,2,4,2,1,2,41,-10053,0.98,-0.02
98034,7,1968,1198072,1198081,1,1460,680.56,1,3,2,1,2,58,-9,1,0
98801,7,1995,439956,439829,1,1400,314.16,1,3,2,2,2,31,127,1,0
98908,7,2006,484922,475092,0.98,1890,251.37,1,3,2,2,2,20,9830,1.02,0.02
98501,7,1998,678903,678916,1,2300,295.18,2,4,3,1,2,28,-13,1,0
98168,7,1928,384946,439054,1.03,600,680.56,1,2,1,1,2,98,-33595,0.88,-0.12
98178,7,1931,498570,500092,1,1010,495.14,1,2,1,1,2,95,-1522,1,0
98674,7,2017,524801,524975,1,2270,231.27,2,3,2,2,2,9,-174,1,0
98203,7,1910,450065,477078,1.03,1000,477.08,1,3,1,2,2,116,-27013,0.94,-0.06
98926,7,2025,449939,450094,1,2050,219.56,2,4,3,1,2,1,-155,1,0
